,ROE,ROA,Margem Liquida,Margem Bruta,Divida Liquida,EBITDA,Divida_Liquida_EBITDA,Liquidez Corrente,PL/Ativos,Passivos/Ativos,Margem Ebit,Lucro Líquido,Dividendos Propostos (BPP),Dividendos a Pagar (BPP),Dividendos Pagos (DFC),Payout Contábil (%),Payout Caixa (%),FCL,Dividendos_Pagos_Total,Total_Acoes,VPA,LPA,Giro Ativos,Ticker_CVM,Ano,Dividendos_Pagos_T1,CNPJ,ticker
122,27.452,18.642,18.523,36.952,219851.0,443567.0,0.496,2.795,67.909,100.0,-19.467,469930.0,0.0,0.0,-291073.0,0.0,61.94,144317.0,90930.0,245264.0,6.98,1.916,100.642,11762,2022,229110.0,50926955000142,VULC3
123,24.802,17.833,17.563,41.738,76730.0,542520.0,0.141,3.832,71.899,100.0,-22.484,494883.0,0.0,0.0,-312490.0,0.0,63.144,386012.0,229110.0,245150.0,8.139,2.019,101.533,11762,2023,783020.0,50926955000142,VULC3
124,-8.415,-4.581,-7.283,24.359,659418.0,172153.0,3.83,1.827,54.436,100.0,-18.967,-149163.0,0.0,2895.0,-578280.0,-1.941,-387.683,46533.0,0.0,0.0,0.0,0.0,62.901,11800,2012,3614.0,25329319000196,
125,-0.79,-0.397,-0.54,23.866,763969.0,92100.0,8.295,1.56,50.227,100.0,-19.486,-12950.0,0.0,4715.0,-287234.0,-36.409,-2218.023,-77765.0,3614.0,0.0,0.0,0.0,73.51,11800,2013,4654.0,25329319000196,
126,-8.207,-3.848,-5.278,25.175,940396.0,-3561.0,-264.082,1.767,46.885,100.0,-24.557,-129298.0,0.0,3304.0,-617585.0,-2.555,-477.645,-156323.0,4654.0,0.0,0.0,0.0,72.902,11800,2014,2102.0,25329319000196,
127,9.69,1.827,1.855,10.113,2494409.0,63500.0,39.282,1.191,18.856,100.0,-5.226,105706.0,0.0,25738.0,-1915.0,24.349,1.812,-1470638.0,86844.0,0.0,0.0,0.0,98.495,11932,2012,57107.0,61156113000175,MYPK3
128,14.621,3.501,3.449,14.023,2111253.0,171942.0,12.279,1.21,23.944,100.0,-6.619,211300.0,0.0,76145.0,0.0,36.036,0.0,247257.0,57107.0,0.0,0.0,0.0,101.504,11932,2013,136973.0,61156113000175,MYPK3
129,7.356,1.877,1.997,13.826,2175321.0,142838.0,15.229,1.009,25.513,100.0,-6.76,118032.0,0.0,31306.0,0.0,26.523,0.0,175861.0,136973.0,0.0,0.0,0.0,94.0,11932,2014,85649.0,61156113000175,MYPK3
130,4.879,1.5,1.751,13.029,2675595.0,120420.0,22.219,0.883,30.743,100.0,-6.462,119849.0,0.0,21166.0,0.0,17.661,0.0,-171566.0,85649.0,0.0,0.0,0.0,85.684,11932,2015,98568.0,61156113000175,MYPK3
131,4.419,1.263,1.308,14.257,2628491.0,94949.0,27.683,0.938,28.582,100.0,-7.225,89130.0,0.0,10751.0,-2155.0,12.062,2.418,-20577.0,98568.0,0.0,0.0,0.0,96.59,11932,2016,80684.0,61156113000175,MYPK3
132,3.049,1.012,1.071,15.425,2299939.0,97748.0,23.529,0.996,33.204,100.0,-8.793,80209.0,0.0,5436.0,-4620.0,6.777,5.76,65935.0,80684.0,0.0,0.0,0.0,94.518,11932,2017,129518.0,61156113000175,MYPK3
133,9.571,3.394,3.184,13.709,2326807.0,207265.0,11.226,1.08,35.464,100.0,-6.414,306142.0,0.0,99199.0,-13142.0,32.403,4.293,143975.0,129518.0,0.0,0.0,0.0,106.62,11932,2018,203889.0,61156113000175,MYPK3
134,12.051,4.495,4.207,11.833,2415450.0,174201.0,13.866,1.3,37.299,100.0,-5.081,421415.0,0.0,127147.0,-2987.0,30.171,0.709,133215.0,203889.0,0.0,0.0,0.0,106.837,11932,2019,146196.0,61156113000175,MYPK3
135,-11.042,-3.383,-4.793,6.453,3514940.0,-686552.0,-5.12,1.186,30.638,100.0,-8.561,-419914.0,0.0,89731.0,0.0,-21.369,-0.0,-222625.0,146196.0,152370.0,24.957,-2.756,70.583,11932,2020,165641.0,61156113000175,MYPK3
